Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7334854,WHOSIS_000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2008,SEX_MLE,,,,,,,59.0 [58.4-59.7],59.02172419,58.44452171,59.7175684,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7335829,WHOSIS_000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,SEX,2002,SEX_BTSX,,,,,,,82.1 [82.0-82.2],82.10074471,82.0455292,82.15596022,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7337075,WHOSIS_000001,COUNTRY,LUX,YEAR,EUR,Europe,SEX,2018,SEX_MLE,,,,,,,80.9 [80.8-81.1],80.90398198,80.7663856,81.11758297,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7338195,WHOSIS_000001,COUNTRY,ESP,YEAR,EUR,Europe,SEX,2013,SEX_FMLE,,,,,,,85.2 [85.1-85.2],85.15147734,85.08279007,85.22016462,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7340391,WHOSIS_000001,COUNTRY,GBR,YEAR,EUR,Europe,SEX,2009,SEX_FMLE,,,,,,,82.0 [81.9-82.0],81.96679855,81.90981049,82.0237866,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7340640,WHOSIS_000001,COUNTRY,MLI,YEAR,AFR,Africa,SEX,2017,SEX_BTSX,,,,,,,61.0 [60.2-62.0],61.01919215,60.24615294,62.01387506,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7340681,WHOSIS_000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,2007,SEX_BTSX,,,,,,,60.8 [60.0-61.6],60.82526391,60.00579745,61.58878578,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
7341755,WHOSIS_000001,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,2021,SEX_BTSX,,,,,,,61.6 [60.1-63.3],61.60542301,60.05888126,63.29485362,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7341764,WHOSIS_000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2019,SEX_FMLE,,,,,,,78.7 [78.5-79.0],78.72827056,78.53787394,78.96838596,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7344029,WHOSIS_000001,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,2000,SEX_BTSX,,,,,,,54.0 [52.6-55.2],54.03083545,52.64352796,55.21539756,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7344598,WHOSIS_000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,2021,SEX_FMLE,,,,,,,74.6 [74.0-75.2],74.56256042,74.00442186,75.22224955,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7345025,WHOSIS_000001,COUNTRY,JAM,YEAR,AMR,Americas,SEX,2006,SEX_BTSX,,,,,,,74.4 [74.2-74.8],74.44972953,74.22645021,74.76062821,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7345488,WHOSIS_000001,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,SEX,2012,SEX_MLE,,,,,,,80.1 [79.7-80.6],80.0918985,79.67676996,80.55032836,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7346096,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,2017,SEX_BTSX,,,,,,,81.9 [81.7-82.1],81.86957092,81.70625904,82.12999218,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7346578,WHOSIS_000001,COUNTRY,FSM,YEAR,WPR,Western Pacific,SEX,2013,SEX_BTSX,,,,,,,65.2 [64.4-66.0],65.16296685,64.41780117,66.02050844,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7347639,WHOSIS_000001,COUNTRY,TJK,YEAR,EUR,Europe,SEX,2012,SEX_FMLE,,,,,,,72.9 [72.5-73.4],72.89346815,72.53077831,73.38357658,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7348384,WHOSIS_000001,COUNTRY,EST,YEAR,EUR,Europe,SEX,2021,SEX_MLE,,,,,,,72.8 [72.7-73.0],72.82558679,72.71313182,73.00666841,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7348745,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,2012,SEX_MLE,,,,,,,80.4 [80.3-80.4],80.36483191,80.29252739,80.43713643,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7349607,WHOSIS_000001,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,SEX,2015,SEX_MLE,,,,,,,67.1 [66.2-68.1],67.13030641,66.18346995,68.05937826,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7352360,WHOSIS_000001,COUNTRY,LAO,YEAR,WPR,Western Pacific,SEX,2021,SEX_BTSX,,,,,,,68.2 [67.4-69.2],68.23189407,67.42843908,69.23683438,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7353193,WHOSIS_000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,2017,SEX_MLE,,,,,,,70.2 [69.9-70.6],70.23845238,69.93689388,70.60145756,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
