SpatialDimType,SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue
COUNTRY,JPN,Western Pacific,2003,Male,78.70778533
COUNTRY,ARE,Eastern Mediterranean,2000,Both,78.11838329
COUNTRY,KGZ,Europe,2005,Both,67.04293061
COUNTRY,MDV,South-East Asia,2018,Both,78.67792046
COUNTRY,LBN,Eastern Mediterranean,2004,Both,77.0970413
COUNTRY,SYC,Africa,2002,Both,72.11976114
COUNTRY,BEL,Europe,2012,Both,80.07118579
COUNTRY,ZMB,Africa,2004,Female,49.98491613
COUNTRY,LAO,Western Pacific,2015,Male,64.66146714
COUNTRY,LSO,Africa,2013,Male,46.24830612
COUNTRY,MDG,Africa,2021,Male,61.86037197
COUNTRY,ESP,Europe,2000,Both,79.09037288
REGION,WPR,,2004,Both,72.92242384
COUNTRY,BTN,South-East Asia,2004,Female,69.63696233
COUNTRY,NLD,Europe,2003,Both,78.52543386
COUNTRY,GUY,Americas,2007,Both,65.67248785
COUNTRY,GNB,Africa,2006,Female,54.88886321
COUNTRY,GNQ,Africa,2019,Male,59.88290187
COUNTRY,MYS,Western Pacific,2017,Male,72.68496902
COUNTRY,ZWE,Africa,2012,Female,57.11657707
COUNTRY,BTN,South-East Asia,2006,Male,69.17739464
COUNTRY,NGA,Africa,2011,Both,60.1981229
COUNTRY,PER,Americas,2015,Female,81.94680531
COUNTRY,GRC,Europe,2005,Male,76.98607158
COUNTRY,ITA,Europe,2015,Both,82.20433624
COUNTRY,HTI,Americas,2016,Female,63.11142345
COUNTRY,MAR,Eastern Mediterranean,2015,Both,73.26259745
COUNTRY,ESP,Europe,2019,Male,80.53744655
COUNTRY,MYS,Western Pacific,2006,Both,74.30399222
COUNTRY,RWA,Africa,2021,Male,65.44899108
REGION,SEAR,,2015,Female,71.92408266
COUNTRY,ARG,Americas,2004,Male,71.47750548
COUNTRY,SWZ,Africa,2014,Male,48.08523003
COUNTRY,MDA,Europe,2000,Both,65.65922366
COUNTRY,UZB,Europe,2010,Male,64.38672364
COUNTRY,GUY,Americas,2008,Female,68.84959017
COUNTRY,UZB,Europe,2008,Male,63.04041669
COUNTRY,KIR,Western Pacific,2006,Female,64.53529403
COUNTRY,BWA,Africa,2004,Female,52.81892287
COUNTRY,GUY,Americas,2016,Female,70.91045823
COUNTRY,BLZ,Americas,2007,Female,75.55666576
COUNTRY,AUT,Europe,2000,Female,80.98140021
COUNTRY,GMB,Africa,2015,Male,61.87149352
COUNTRY,TLS,South-East Asia,2013,Female,68.84130151
COUNTRY,COL,Americas,2012,Female,79.86246002
COUNTRY,MLI,Africa,2005,Female,56.11851412
COUNTRY,MLI,Africa,2011,Female,59.38215829
COUNTRY,AFG,Eastern Mediterranean,2012,Male,59.42176565
COUNTRY,SEN,Africa,2001,Both,59.28989485
